Country Name,Angola,Angola,Angola,Botswana,Botswana,Botswana,Lesotho,Lesotho,Lesotho,Malawi,Malawi,Malawi,Mozambique,Mozambique,Mozambique,Namibia,Namibia,Namibia,South Africa,South Africa,South Africa,Zimbabwe,Zimbabwe,Zimbabwe,Zambia,Zambia,Zambia,Swaziland,Swaziland,Swaziland
Country Code,AGO,AGO,AGO,BWA,BWA,BWA,LSO,LSO,LSO,MWI,MWI,MWI,MOZ,MOZ,MOZ,NAM,NAM,NAM,ZAF,ZAF,ZAF,ZWE,ZWE,ZWE,ZMB,ZMB,ZMB,SWZ,SWZ,SWZ
Series Name,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total"
Series Code,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL
1986 [YR1986],53.41,23.47,10921037,38.112,7.549,1226810,37.809,11.876,1499861,51.74,19.48,7625305,45.813,22.016,13034385,39.833,9.703,1193592,32.104,9.251,34490419,41.232,8.92,8976205,45.874,16.494,7170656,46.2,10.2,767579
1987 [YR1987],53.33,23.351,11218268,36.848,7.434,1264314,37.172,11.521,1525460,51.297,19.282,8120093,45.652,21.807,13020861,39.44,9.417,1245990,31.376,8.946,35230249,40.186,8.944,9293283,45.68,16.885,7385686,45.5,9.8,801540
1988 [YR1988],53.2,23.226,11513968,35.669,7.379,1301818,36.549,11.146,1550262,50.726,19.075,8636935,45.571,21.582,13002553,39.041,9.154,1302741,30.616,8.67,35970537,39.185,9.063,9604302,45.505,17.278,7600072,44.7,9.5,833994
1989 [YR1989],53.008,23.083,11827237,34.608,7.403,1339624,35.956,10.778,1576022,50.04,18.855,9094671,45.568,21.343,13059613,38.625,8.927,1359933,29.841,8.442,36740883,38.257,9.282,9902540,45.349,17.653,7813808,43.7,9.3,861000
1990 [YR1990],52.749,22.91,12171441,33.684,7.543,1377912,35.42,10.464,1603938,49.28,18.627,9437553,45.626,21.078,13247649,38.175,8.752,1414692,29.075,8.28,37560525,37.418,9.612,10183113,45.22,17.994,8027253,42.6,9.1,862947
1991 [YR1991],52.423,22.697,12553446,32.893,7.843,1416731,34.965,10.262,1634517,48.501,18.396,9641153,45.717,20.769,13591970,37.67,8.646,1465740,28.338,8.199,38437855,36.669,10.061,10443043,45.128,18.29,8239732,41.4,9.1,886000
1992 [YR1992],52.047,22.436,12968345,32.197,8.31,1455833,34.594,10.219,1667121,47.761,18.173,9729717,45.803,20.401,14071231,37.106,8.614,1513721,27.647,8.202,39360225,35.997,10.62,10682868,45.076,18.534,8452275,40.2,9.2,906000
1993 [YR1993],51.641,22.119,13403734,31.561,8.934,1494693,34.294,10.362,1700362,47.103,17.961,9755857,45.852,19.972,14636995,36.486,8.66,1559983,27.013,8.292,40300161,35.393,11.268,10905756,45.058,18.715,8669168,38.9,9.5,924000
1994 [YR1994],51.216,21.737,13841301,30.969,9.688,1532622,34.05,10.699,1732257,46.547,17.76,9796976,45.851,19.487,15217044,35.815,8.784,1606718,26.448,8.475,41218901,34.861,11.979,11116948,45.066,18.818,8896109,37.7,9.8,942000
1995 [YR1995],50.792,21.278,14268994,30.403,10.536,1569094,33.822,11.241,1761359,46.089,17.569,9909088,45.794,18.964,15759132,35.105,8.995,1655359,25.957,8.764,42088165,34.409,12.736,11320346,45.086,18.825,9137077,36.6,10.3,961000
1996 [YR1996],50.383,20.734,14682284,29.845,11.437,1604060,33.562,11.988,1787273,45.708,17.392,10109789,45.688,18.425,16248232,34.374,9.297,1706489,25.538,9.171,42898520,34.045,13.522,11518262,45.107,18.721,9394304,35.6,11,982000
1997 [YR1997],49.999,20.109,15088981,29.289,12.327,1637635,33.232,12.884,1810453,45.362,17.217,10381862,45.551,17.894,16701351,33.644,9.676,1758994,25.177,9.686,43657024,33.77,14.309,11709997,45.109,18.505,9666578,34.7,11.7,1004000
1998 [YR1998],49.644,19.413,15504318,28.735,13.139,1669625,32.812,13.856,1831298,45.017,17.03,10704744,45.396,17.388,17136780,32.941,10.105,1810566,24.861,10.285,44372112,33.585,15.057,11893272,45.075,18.183,9950224,34,12.5,1026000
1999 [YR1999],49.322,18.658,15949766,28.183,13.817,1699862,32.303,14.836,1850527,44.667,16.815,11044356,45.224,16.914,17584869,32.284,10.557,1858042,24.581,10.941,45058775,33.488,15.723,12064537,44.991,17.76,10239714,33.4,13.3,1046000
2000 [YR2000],49.032,17.858,16440924,27.643,14.292,1728340,31.719,15.727,1868699,44.322,16.544,11376172,45.03,16.466,18067687,31.688,10.997,1899257,24.329,11.624,45728315,33.487,16.256,12222251,44.839,17.241,10531221,32.9,14.1,1061000
2001 [YR2001],48.773,17.029,16983266,27.132,14.506,1754935,31.093,16.435,1885955,44.01,16.189,11695863,44.809,16.031,18588758,31.16,11.393,1933596,24.101,12.309,46385006,33.589,16.611,12366165,44.604,16.637,10824125,32.6,14.8,1073000
2002 [YR2002],48.53,16.189,17572649,26.666,14.462,1779953,30.473,16.911,1902312,43.745,15.736,12013711,44.553,15.589,19139658,30.7,11.719,1962147,23.892,12.96,47026173,33.785,16.771,12500525,44.291,15.966,11120409,32.4,15.3,1081000
2003 [YR2003],48.285,15.357,18203369,26.26,14.179,1804339,29.903,17.132,1918097,43.527,15.184,12336687,44.26,15.131,19716598,30.307,11.948,1986535,23.698,13.539,47648727,34.055,16.73,12633897,43.907,15.25,11421984,32.3,15.6,1087000
2004 [YR2004],48.025,14.548,18865716,25.921,13.682,1829330,29.409,17.092,1933728,43.336,14.539,12676038,43.931,14.655,20312705,29.987,12.059,2009228,23.511,14.009,48247395,34.377,16.487,12777511,43.461,14.509,11731746,32.3,15.6,1095000
2005 [YR2005],47.726,13.773,19552542,25.658,13.016,1855852,29.017,16.82,1949543,43.12,13.81,13039711,43.568,14.17,20923070,29.759,12.027,2032196,23.331,14.317,48820586,34.727,16.04,12940032,42.967,13.757,12052156,32.2,15.5,1105000
